Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1694645180,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694645181,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694645182,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694645183,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694645184,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694645185,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694645186,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694645187,2,,Aggregated,0.000000,0.000000,190,200,410,410,610,610,610,610,610,610,610,7,0,190.0,281.1451529975914,182.63539599138312,611.7400060174987,9816.0
1694645188,3,,Aggregated,0.000000,0.000000,190,190,200,210,450,610,610,610,610,610,610,19,0,190.0,237.42409078955748,182.63539599138312,611.7400060174987,9816.0
1694645189,4,,Aggregated,2.000000,0.000000,190,190,190,190,410,450,610,610,610,610,610,37,0,190.0,217.88981605267682,179.61645501782186,611.7400060174987,9816.0
1694645190,5,,Aggregated,4.666667,0.000000,190,190,190,190,210,420,450,610,610,610,610,59,0,190.0,210.20473991530568,179.43575300159864,611.7400060174987,9816.0
1694645191,6,,Aggregated,7.250000,0.000000,190,190,190,190,200,410,550,610,610,610,610,88,0,190.0,206.01105189747284,179.43575300159864,611.7400060174987,9816.0
1694645192,7,,Aggregated,10.000000,0.000000,190,190,190,190,200,410,450,550,610,610,610,119,0,190.0,202.87138808366038,179.43575300159864,611.7400060174987,9816.0
1694645193,8,,Aggregated,12.666667,0.000000,190,190,190,190,200,410,420,550,610,610,610,159,0,190.0,200.8581477041289,179.43575300159864,611.7400060174987,9816.0
1694645194,9,,Aggregated,15.142857,0.000000,190,190,190,190,210,220,420,450,610,610,610,201,0,190.0,200.4290767412503,179.43575300159864,611.7400060174987,9816.0
1694645195,10,,Aggregated,18.000000,0.000000,190,190,190,190,210,220,420,450,610,610,610,250,0,190.0,198.82374990009703,179.43575300159864,611.7400060174987,9816.0
1694645196,11,,Aggregated,20.333333,0.000000,190,190,190,190,200,220,410,420,610,610,610,306,0,190.0,197.825116888518,179.43575300159864,611.7400060174987,9816.0
1694645197,12,,Aggregated,23.000000,0.000000,190,190,190,190,200,220,410,420,610,610,610,365,0,190.0,197.24962770706043,179.43575300159864,611.7400060174987,9816.0
1694645198,13,,Aggregated,28.300000,0.000000,190,190,190,200,210,220,410,420,610,610,610,427,0,190.0,197.6443390960127,179.43575300159864,611.7400060174987,9816.0
1694645199,14,,Aggregated,33.800000,0.000000,190,190,200,200,210,240,410,420,610,610,610,493,0,190.0,198.90401432221958,179.43575300159864,611.7400060174987,9816.0
1694645200,15,,Aggregated,38.900000,0.000000,190,190,200,200,220,240,400,420,610,610,610,568,0,190.0,199.06148080092822,178.97386799450032,611.7400060174987,9816.0
1694645201,16,,Aggregated,43.700000,0.000000,190,190,200,200,220,240,400,420,610,610,610,642,0,190.0,199.8308553675286,178.97386799450032,611.7400060174987,9816.0
1694645202,17,,Aggregated,48.700000,0.000000,190,190,200,200,220,240,380,410,610,610,610,724,0,190.0,199.94552269170688,178.97386799450032,611.7400060174987,9816.0
1694645203,18,,Aggregated,53.400000,0.000000,190,190,200,200,220,240,370,410,610,610,610,812,0,190.0,199.69431623736776,178.97386799450032,611.7400060174987,9816.0
1694645204,19,,Aggregated,58.400000,0.000000,190,190,200,200,220,240,360,410,610,610,610,904,0,190.0,199.9338959278119,178.72755500138737,611.7400060174987,9816.0
1694645205,20,,Aggregated,63.100000,0.000000,190,190,200,200,220,230,330,410,550,610,610,1005,0,190.0,198.6440184156918,178.48199600121006,611.7400060174987,9816.0
1694645206,21,,Aggregated,68.100000,0.000000,190,190,200,200,220,240,320,410,550,610,610,1101,0,190.0,199.26978917866984,178.48199600121006,611.7400060174987,9816.0
1694645207,22,,Aggregated,73.200000,0.000000,190,190,200,200,220,230,320,410,550,610,610,1206,0,190.0,198.73576105368508,174.79335999814793,611.7400060174987,9816.0
1694645208,23,,Aggregated,77.800000,0.000000,190,190,200,200,220,240,310,410,550,610,610,1312,0,190.0,199.23250186947394,173.35978097980842,611.7400060174987,9816.0
1694645209,24,,Aggregated,81.900000,0.000000,190,200,200,210,220,240,310,410,550,610,610,1424,0,190.0,199.68502378475696,173.35978097980842,611.7400060174987,9816.0
1694645210,25,,Aggregated,86.200000,0.000000,190,200,200,210,230,250,320,410,550,610,610,1521,0,190.0,201.83384713304952,173.35978097980842,611.7400060174987,9816.0
1694645211,26,,Aggregated,91.100000,0.000000,190,200,210,210,230,250,310,410,550,610,610,1639,0,190.0,202.14756134798884,173.35978097980842,611.7400060174987,9816.0
1694645212,27,,Aggregated,93.200000,0.000000,190,200,210,210,230,260,330,400,550,610,610,1760,0,190.0,203.23304611156345,172.0022440131288,611.7400060174987,9816.0
1694645213,28,,Aggregated,97.800000,0.000000,190,200,210,220,240,270,330,400,550,610,610,1861,0,190.0,205.3557545816689,172.0022440131288,611.7400060174987,9816.0
